ntaxa,ngt,ils,nbp,m,r,imethod,gtee,hwcd,input_error,runtime_parallel,runtime_serial
25,100,low,100,10,1,snaq,0.205909090909091,4,10,749.413818836212,1004.96302390099
25,100,low,100,10,1,squirrel,0.205909090909091,26,28,15.3285505175591,15.4011153541505
25,100,low,100,10,2,phylonet,0.264090909090909,4,8,424.785341011215,585.940734011215
25,100,low,100,10,2,squirrel,0.264090909090909,18,16,14.2141647264361,14.380094345659
25,100,low,100,10,3,phylonet,0.246818181818182,14,20,3286.09812601071,3557.19435101071
25,100,low,100,10,3,snaq,0.246818181818182,12,18,14778.6650090218,15242.718211174
25,100,low,100,10,3,squirrel,0.246818181818182,44,46,15.1253914162517,15.2802024818957
25,100,low,100,10,5,snaq,0.200454545454545,2,10,2688.28484892845,2926.70688509941
25,100,low,100,10,6,phylonet,0.235,14,18,241.163954070389,415.696634070389
25,100,low,100,10,6,snaq,0.235,8,18,965.223524332047,1328.42462921143
25,100,low,100,10,8,phylonet,0.227727272727273,10,10,128.853404975281,269.138668975281
25,100,low,100,10,8,snaq,0.227727272727273,12,12,349.3130671978,601.055264472961
25,100,low,100,10,9,snaq,0.185454545454545,10,16,699.913427829742,1153.53376293182
25,100,low,100,20,1,snaq,0.213636363636364,4,2,19655.8347761631,19997.9793670177
25,100,low,100,20,2,phylonet,0.216363636363636,14,14,38230.7771921239,38271.9108091239
25,100,low,100,20,2,snaq,0.216363636363636,6,6,85923.2735667229,85939.7897827625
25,100,low,100,20,3,snaq,0.232272727272727,0,4,33761.6391730309,33912.2702379227
25,100,low,100,20,5,phylonet,0.217727272727273,4,14,1887.46192906752,3571.98269306752
25,100,low,100,20,8,snaq,0.177272727272727,2,4,39913.2461788654,40131.5114197731
25,100,low,100,20,9,snaq,0.178181818181818,2,16,64484.9020700455,64500.4111549854
25,100,low,100,20,10,phylonet,0.207272727272727,6,12,4178.05331187907,4280.77260087907
25,100,low,100,20,10,snaq,0.207272727272727,6,12,34350.3575210571,34432.7581110001
25,100,high,100,10,1,squirrel,0.376363636363636,40,52,16.3200864419341,16.7962718307972
25,100,high,100,10,2,phylonet,0.348636363636364,22,34,3158.55132907112,4078.79247007112
25,100,high,100,10,2,snaq,0.348636363636364,22,30,6912.89830493927,8346.76163101196
25,100,high,100,10,2,squirrel,0.348636363636364,50,60,15.8128880150616,16.0567287541926
25,100,high,100,10,3,phylonet,0.343181818181818,18,20,1417.82888392361,1521.59465592361
25,100,high,100,10,3,squirrel,0.343181818181818,40,38,17.651773236692,17.6938066743314
25,100,high,100,10,4,phylonet,0.432727272727273,18,30,9983.46905607188,13212.5281640719
25,100,high,100,10,6,snaq,0.394090909090909,30,38,4138.65109419823,4265.00282287598
25,100,high,100,10,7,phylonet,0.371363636363636,20,22,2579.87338494339,4942.64744994339
25,100,high,100,10,8,phylonet,0.35,8,14,2382.06135914789,2825.17212614789
25,100,high,100,10,8,snaq,0.35,10,16,1720.83201789856,1795.66833376884
25,100,high,100,10,9,snaq,0.368636363636364,22,24,7972.03192400932,10027.9219169617
25,100,high,100,10,10,snaq,0.395909090909091,14,16,1656.4639313221,1754.34782719612
25,100,high,100,20,2,snaq,0.349090909090909,16,22,3718.59416818619,5947.12681627274
25,100,high,100,20,3,snaq,0.380909090909091,18,26,6397.08824396133,7854.8775677681
25,100,high,100,20,4,phylonet,0.377272727272727,14,22,1985.51889302144,3297.00170102144
25,100,high,100,20,4,snaq,0.377272727272727,14,22,2713.81473970413,4096.67001867294
25,100,high,100,20,5,phylonet,0.418181818181818,20,30,6087.56568506517,10139.9423600652
25,100,high,100,20,5,snaq,0.418181818181818,14,24,4468.38498187065,7350.38176393509
25,100,high,100,20,7,snaq,0.416363636363636,24,30,11830.144908905,12941.0671408176
25,100,high,100,20,9,phylonet,0.355,24,34,3816.01971123261,6448.62009223261
25,100,high,100,20,10,phylonet,0.424090909090909,24,28,5707.83790297797,7203.75948197797
25,100,high,1000,10,1,squirrel,0.0645454545454545,34,44,17.3388925045729,17.5152613967657
25,100,high,1000,10,2,phylonet,0.0718181818181818,22,22,8174.55931901033,8715.68652301033
25,100,high,1000,10,2,squirrel,0.0718181818181818,42,46,15.8279100693762,16.0682290196419
25,100,high,1000,10,3,phylonet,0.0636363636363636,20,20,2349.13289698573,2797.77048898573
25,100,high,1000,10,3,squirrel,0.0636363636363636,38,50,15.398335237056,15.6216824501753
25,100,high,1000,10,6,phylonet,0.0595454545454545,22,28,2031.98200108827,3844.08966908827
25,100,high,1000,10,7,phylonet,0.0595454545454545,12,12,2658.92329093248,4250.03814793248
25,100,high,1000,10,7,snaq,0.0595454545454545,12,12,4500.23445010185,5473.94516301155
25,100,high,1000,10,9,phylonet,0.0631818181818182,18,26,1638.10510713721,1793.00388213721
25,100,high,1000,10,10,phylonet,0.055,18,22,6613.27983703123,7637.24530803124
25,100,high,1000,20,1,phylonet,0.0772727272727273,16,16,2476.37582596132,3825.88550596132
