net_id,replicate_num,n_loci,seq_len,ils_level,max_subset_size,distance_method,num_taxa,num_retics_true,num_retics_est,nretics_inside,nretics_outside,nretics_duplicated,est_newick,est_net_hwcd,est_major_tree_hwcd,est_net_hwcd_only_identified_retics,est_constraint_hwcd_sum,time_seconds_parallel,time_seconds_series
n200r10,1,100,1000,low,15,AGIC,200,10,5,3,7,2,"(((((((t102,((((((t120,t121),t110),((((((((((t2,(((((t5,t4),t3),((t25,t24),(((t18,t17),t9),t10))),((((t15,(((t16,((t23,t21),t22)),(t8,(((t12,t13),t11),(t6,t7)))),t14)),(t20,t19)),(((((((((t158,t152),t153),t151),(t156,(t167,((t157,(t168,(t169,#H2))),((((t166,(t162,(t163,(t165,t164)))),t154),(t173,t172)))#H2)))),((t174,t175),t155)),((t159,t161),t160)),t171),t170),((((((t176,((t186,t187),((t195,t196),t190))),t177),t178),t197),t198),(t193,(t194,((((t184,(t185,(t189,t188))),t182),(t181,t180)),(t179,(t183,(((t200,t199),t191),t192))))))))),OUTGROUP)),t1)),(((((((((((t84,t83),(t92,t93)),t79),t78),t77),(t86,((t80,(((t82,(t91,t90)),((t100,(t99,t94)),t81)),t76)),t85))),((t95,t96),t87)),(t88,t89)),t97),t98),((t71,(t70,(t52,((((t53,(t67,t66)),t57),t58),(t63,t62))))),(t64,(t65,(t55,((((t75,(t74)#H5),t59),((t60,t61),((t51,(t54,#H5)),(t68,t69)))),(t56,(t73,t72))))))))),((((t26,((t45,t46),t34)),(t29)#H4),((((t49,(t50,#H4)),t32),t31),((t47,(t35,t28)),(t48,((((t33,t41),t30),((t44,t43),(t38,t37))),t42))))),((t40,(t39,t36)),t27))),((((t130,((t128,((t132,t133),((((t145,t146),t140),t142),t126))),(t139,t138))),t150),t149),(t134,(t135,(((t147,t148),((t141,t144),t143)),(((t131,t127),(t136,t137)),t129)))))),(t101,((t113,t111),t103))),t116),(t107,t106)),(t117,t112)),t105))#H3),(t125,#H3)),t124))#H1),t104),t122),(t115,((t109,t108),#H1))),t123),(t119,t114)),t118)root;",230,160,210.0,92.0,916.032849284,2853.7311807619994
n200r10,1,100,1000,med,15,AGIC,200,10,4,4,6,0,"(OUTGROUP,((((t96,(t95,(((t89,t88),((t97,t98),(((((t76,(((((t99,t100),t94),t82),t81),(t91,t90))),t80),t85),t86),((((t79,t78),(t93,t92)),(t83,t84)),t77)))),t87))),(t63,((((((t58,t57),(t67,t66)),t53),(t52,(t71,t70))),(((((((t65,t64),t55),t56),((t51,(t54,(t69,t68))),((t61,t60),(t72,t73)))),t59),t74),t75)),t62))),((((((t112,((((((t102,t104),((t123,(t122)#H1),(t114,t115))),(((t119,t118),(t109,#H1)),t108)),t107),t116),t106)),(t113,((((t120,t121),t110),((t124,t125),(t117)#H4)),t105))),((t111,t101),#H4)),t103),(((t131,(t136,((t129,((((t144,t141),t143),(t147,t148)),(t135,t134))),t127))),t137),((((t140,(t126,((t133,t132),(((t130,(t150,t149)),(t139,t138)),t128)))),t142),t146),t145))),((((((t29,((t34,((t46,t45),#H2)),t26)),((((t47,t35),t28),((((t38,t37),(((t41,t33),t30),(t44,t43))),t42),t48)),(t31,((t32,(t50,t49)))#H2))),t27),t36),t40),t39))),(((((((((((t19,t20),(t7,t6)),((t12,t11),t13)),t8),t14),t15),t16),t22),t21),t23),(t2,(t1,(((((t18,t17),t9),t10),(t25,t24)),(t3,(t4,(t5,(((t158,((t153,t152),t151)),(((t162,(((t154,(((t172,t173),((((t168,t169),t157),(t156,t167)),t166)))#H3),t164),#H3)),t163),t165)),((t187,(t186,(((t195,t196),t190),((t177,(t178,(t198,t197))),t176)))),((t155,(t174,t175)),((t161,(t159,t160)),(t171,(t170,(((t191,(((t192,t199),t200),t183)),t179),((t194,t193),(t180,(t181,(t182,(t185,(t184,(t188,t189)))))))))))))))))))))));",212,168,180.0,84.0,646.340976417,1908.2672866659998
n200r10,1,1000,500,low,15,AGIC,200,10,4,4,6,0,"(OUTGROUP,((((t15,(((t16,((t23,t21),t22)),(t8,(((t12,t11),t13),(t6,t7)))),t14)),(t20,t19)),((((((((t158,(t152,t153)),t151),(t156,(t167,(((t157,(t169,t168)),(((t162,((t164,(t165)#H3),(t163,#H3))),t154),(t173,t172))),t166)))),((t174,t175),t155)),(t159,(t160,t161))),t171),t170),((((((t176,((t186,t187),((t195,t196),t190))),t177),t178),t197),t198),(t193,(t194,((((t184,(t185,(t189,t188))),t182),(t180,t181)),(t179,(t183,(((t200,t199),t191),t192))))))))),(t1,(t2,(((t25,t24),((t18,t17),(t9,t10))),(t4,(t3,(t5,((((((((((((t84,t83),(t92,t93)),t79),t78),t77),(t86,((t80,((((t82,t81),(t91,t90)),((t100,t99),t94)),t76)),t85))),((t95,t96),t87)),(t88,t89)),t97),t98),((t71,(t70,(t52,((((t53,(t67,t66)),t58),t57),(t63,t62))))),(t64,(t65,(t55,(((t59,((t74,t75),#H2)),((t60,t61),((t54,(t51)#H2),(t68,t69)))),(t56,(t73,t72)))))))),(((((((((((t130,((t128,((t132,t133),((((t145,t146),t140),t142),t126))),(t139,t138))),t150),t149),(t134,(t135,(((t147,t148),((t141,t144),t143)),(t129,((t127,t131),(t136,t137))))))),t101),((t112,t116),((((((t104,#H1),(((t119,t118),((t122,t123),(t114,t115))))#H1),t102),t108),t109),(t107,(t117,((((t120,t121),t110),((t124,t125))#H4),(t105,#H4))))))),t106),t103),t113),t111),((t26,(((t45,t46),t34),t29)),((((t40,t39),t36),t27),((t38,t37),((t44,t43),(t30,(t28,(t35,((((t47,t48),t42),t41),(t33,(t31,(t32,(t49,t50))))))))))))))))))))));",202,162,178.0,64.0,608.825284493,2006.08752221
n200r10,1,100,1000,high,15,AGIC,200,10,4,4,6,0,"(((t120,t105),((((t124,t125),(((((((((((((((((t196,(((t195,(((t176,(((((((t4,(t3,t1)),(((((t17,t18),t9),t10),t25),t24)),t2),t5),(t12,(((((t8,(t22,t15)),((t6,t7),(t20,t19))),(((t21,t23),t16),t14)),t11),t13))),OUTGROUP),((((((((((t85,t80),(t86,(((t91,t90),t81),(((t99,t94),t100),t82)))),t76),t77),(t89,(((t87,t96),t95),((t97,t98),t88)))),(t83,t84)),(t79,t78)),t92),t93),(t58,(t57,((t52,(((t63,t62),((t67,t66),t53)),(t71,t70))),((((t55,(t56,((t73,t72),(((t51,((t61,t60))#H1),((t54,t68),t69)),#H1)))),t64),t65),((t75,t74),t59)))))))),t177),(((t197,t198),t178),(((((((((t171,t170),(t159,(t161,t160))),((t175,t174),t155)),(t158,(((t165,(t162,((t164,((t154,((t166,(t156,t167)),((t169,t168),t157))),(t173,t172))),t163))),(t151,((t153,t152))#H4)),#H4))),t179),t183),t191),((t200,t199),(t188,(((((t180,(t194,t193)),t184),t189),(t181,t182)),t185)))),t192)))),(t187,t186)),t190)),(((t34,(((((((t31,t32),(t28,(((t47,t48),t42),t35))),t49),(t50,t29)),t26),(((t39,t40),t36),t27)),((((t43,t41),t33),(t30,(t38,t37))),t44))),t46),t45)),(((((((t126,(t146,(t140,(t145,t142)))),(t132,t133)),(t139,t138)),t128),t130),t150),t149)),((t103,((t113,t112),t111)),t101)),t137),(t136,t131)),t127),(t129,(t134,t135))),t141),(t143,t144)),t148),t147),t106),t116),t107),t117))#H3),t110),#H3)),((t115,(((t114,#H2),((t122,t123))#H2),(((t102,t104),(t119,t118)),(t109,t108)))),t121))root;",278,234,256.0,128.0,535.928785274,1601.2050059409999
n200r10,1,1000,1000,med,15,AGIC,200,10,3,3,7,0,"(OUTGROUP,((((t96,(t95,((((t89,t88),(t97,t98)),(((((t76,(((t91,t90),((t94,(t99,t100)),t82)),t81)),t80),t85),t86),((((t79,t78),(t93,t92)),(t83,t84)),t77))),t87))),(t63,(((((t58,t57),((t67,t66),t53)),(t52,(((t65,t55),(((t75,t74),t59),(((t61,t60),((t72,t73),t56)),(t51,(t54,(t69,t68)))))),t64))),(t71,t70)),t62))),(((t112,((t111,(t103,((((((((t102,t116),t104),((t123,t122),(t115,(t114,#H3)))),(t119,t118)),(((((((t120,t110),t121),t117),((t124,t125),t105)),t107),t108))#H3),t109),t106),t101))),t113)),(((t131,(t136,((t129,((((t144,t141),t143),(t148,t147)),(t135,t134))),t127))),t137),((((t140,(t126,((t133,t132),(t128,(((t150,t149),t130),(t139,t138)))))),t142),t146),t145))),(((t31,((t32,(t50,t49)),#H1)),(((t29,((t34,(t46,t45)),t26)),((t47,(t35,t28)),((((t38,t37),(((t41,t33),t30),(t44,t43))),t42),t48))))#H1),(t27,((t39,t40),t36))))),(((t19,t20),(t7,(t6,(((t8,(t14,t15)),((t22,(t23,t21)),t16)),((t12,t11),t13))))),(t1,(t2,((((t18,(t17,t10)),t9),(t25,t24)),(t3,(t4,(t5,(((t151,((t158,t153),t152)),(((((t154,(((t172,t173),(t166,((t167,t156),((t168,t169),t157)))))#H2),t162),(t163,#H2)),t164),t165)),((t187,(t186,(((t195,t196),t190),((t177,(t178,(t198,t197))),t176)))),(((t174,t175),t155),((t161,(t160,t159)),(t171,(t170,((((t191,t192),(t183,(t200,t199))),t179),((t194,t193),(t180,(t181,((t184,t182),(t185,(t188,t189))))))))))))))))))))));",202,154,170.0,82.0,324.217126282,1284.428750536
n200r10,1,1000,1000,low,15,AGIC,200,10,4,3,7,1,"(OUTGROUP,((((t15,(((t16,((t23,t21),t22)),(t8,(((t12,t13),t11),(t6,t7)))),t14)),(t20,t19)),(((((((((t158,t152),t153),t151),(t156,(t167,((t157,(t169,t168)),((t166,((t162,(t163,(t165,t164))),(t154,((t173,t172))#H4))),#H4))))),((t174,t175),t155)),((t159,t161),t160)),t171),t170),((((((t176,((t186,t187),((t195,t196),t190))),t177),t178),t197),t198),(t193,(t194,((((t184,(t185,(t189,t188))),t182),(t181,t180)),(t179,(t183,(((t200,t199),t191),t192))))))))),(t1,(t2,(((t25,t24),((t18,t17),(t9,t10))),(t4,(t3,(t5,((((((((((((t84,t83),(t92,t93)),t79),t78),t77),(t86,((t80,((((t82,t81),(t91,t90)),((t100,t99),t94)),t76)),t85))),((t95,t96),t87)),(t88,t89)),t97),t98),((t71,(t70,(t52,((((t58,t57),t53),(t67,t66)),(t63,t62))))),(t64,(t65,(t55,(((t59,((t74,t75),#H1)),((t60,t61),((t54,(t51)#H1),(t68,t69)))),(t56,(t73,t72)))))))),((((((t130,((t128,((t132,t133),((((t145,t146),t140),t142),t126))),(t139,t138))),t150),t149),(t134,(t135,(((t147,t148),((t141,t144),t143)),(((t131,t127),(t136,t137)),t129))))),(((((t101,t106),((t112,t116),((((((t104,#H3),(((t119,t118),((t122,t123),(t114,t115))))#H3),t102),t108),t109),(t107,(t117,((((t120,t121),t110),((t124,t125))#H2),(t105,#H2))))))),t103),t113),t111)),((t26,(((t45,t46),t34),t29)),((((t40,t39),t36),t27),((t38,t37),((t44,t43),(t30,(t28,(t35,((((t47,t48),t42),t41),(t33,(t31,(t32,(t49,t50))))))))))))))))))))));",200,160,176.0,70.0,895.661681059,2950.5525908209997
n200r10,2,100,500,low,15,AGIC,200,10,3,3,7,0,"(OUTGROUP,(((t21,(t9,((t8,t7),(((((t16,t24),t1),t25),((t3,t4),t2)),((((t6,(t5,(((t14,(t23,(t15,(t17,t18)))),t13),(t11,t12)))),t10),t20),t19))))),t22),((((((((t172,(t173,(t169,(t153,(((t158,(t161,(t167,t168))),((t166,t165),t157)),t156))))),t170),(t171,((t163,t164),((((t152,t154),t155),t151),((t175,t174),t162))))),t159),t160),((((t181,t180),(t179,(((t177,((t200,t199),(t189,t190))),t176),((t186,t185),(t196,(t195,((t187,((t192,t191),t184)),(((t188,(t198,t197)),t178),(t182,t183))))))))),t193),t194)),((((t146,t145),t126),((((((t131,(t138,(t143,t144))),t137),t132),(t134,t133)),(((t129,(t128)#H2),t127),#H2)),t130)),((((t150,(t148,t147)),t149),(t139,t140)),(t136,t135)))),(t142,(t141,(((t65,(t66,((t70,t71),((t58,t59),((((((((t53,((t55,t52),t54)),(t68,(t75,t74))),(t63,t62)),t69),(t67,t72)),(t73,t64)),(t61,t60)),((t51,t56),t57)))))),((((((t78,t81),((((t85,t84),(t82,((t91,t90))#H3)),(t99,t100)),(((t83,(t97,t98)),((t89,t88),#H3)),t76))),(((t94,(t92,(t96,t95))),((t77,(t79,(t80)#H1)),#H1)),t93)),t86),t87),(((t101,((t119,(t118,((((((t124,t125),t108),t121),t120),t103),(((t117,t116),t115),(t122,t123))))),(((t102,(t104,(t110,t109))),(t107,t106)),(t113,t114)))),(t112,t111)),t105))),(((t43,(t44,(t37,((t32,((t42,(t49,t50)),(t40,t41))),((t46,t45),(t39,t38)))))),(t30,t31)),(((t33,t34),t27),(t29,(t26,((t36,t35),(t28,(t47,t48)))))))))))));",192,150,160.0,64.0,209.95946295800002,1335.87760473
n200r10,2,100,500,med,15,AGIC,200,10,2,2,8,0,"(OUTGROUP,((t22,(t21,(t9,((((t14,((((((t25,(t12,t11)),(t5,(((t20,t19),t6),t10))),t13),t18),(t23,t15)),t17)),((t2,t4),t3)),(t7,t8)),((t24,t16),t1))))),(((((((((t141,(t142,(((t143,(t144,(((((t128,(t129,t127)),((t133,t134),(t130,t131))),t137),t132),t138))),(t126,(t146,t145))),((t150,((t148,t147),t149)),((t139,t140),(t136,t135)))))),(((t186,t185),(((t197,t198),(t178,((t182,t183),((t184,(t187,(t192,t191))),(t196,t195))))),t188)),(((((t169,((t173,t172),(((((t165,t166),((t161,(t168,t167)),t158)),t156),t157),t153))),(t171,t170)),((t163,((t162,(t175,t174)),(t151,(t155,(t152,t154))))),t164)),t160),t159))),(t179,(t181,(t180,(t193,t194))))),t176),t177),(t200,t199)),t190),t189),(((((t81,((t78,((((((t89,t83),t88),(t98,t97)),(t100,t99)),t76),((t85,t84),(t91,(t90,t82))))),((t86,t87),(t93,((((t96,(t95,#H2)),t92),t94),((t80,(t79,t77)))#H2))))),(((((((t113,t114),((t106,t107),(((t109,t110),t104),t102))),(((t115,t117),((((t103,(t108,(t125,t124))),(t121,t120)),(t119,t118)),(t123,t122))),t116)),t101),t105),t111),t112)),(t51,(t56,t57))),((((((t38,(((((t44,t43),t37),(t32,(((t40,t42),(t49,t50)),t41))),(t46,t45)),t39)),(t31,(t30,t29))),(t26,((t36,(t28,(t48,t47))),t35))),t27),t33),t34)),(t59,(((((((t68,(t74,t75)),#H1),(((t63,t62),t69))#H1),((t52,(t55,t54)),t53)),(t67,t72)),((t64,t73),(t60,t61))),(t58,(t65,(t66,(t70,t71))))))))));",210,170,180.0,94.0,346.437426091,1622.94840948
n200r10,2,100,500,high,15,AGIC,200,10,4,3,7,1,"(OUTGROUP,(((((t48,t47),((((t27,(t31,t30)),((t34,t33),(t29,(t43,(((((t40,((t41,t50),t49)),(t32,t42)),((t46,t45),(t39,t38))),t37),t44))))),(t36,t35)),t26)),t28),((((((((t119,((t118,(((((t120,t121),t124),t125),t103),t108)),((t122,t123),(t117,(t116,t115))))),(((((t110,t104),t102),t109),(t114,t113)),(t107,t106))),t101),t112),t105),t111),(((((t91,(((t84,t85),(((t76,((t88,(((t97,t98),t83))#H2),t89)),(t99,(t100,#H2))),t82)),t90)),(t81,t78)),((((((t92,(t96,#H3)),t95),t94),(t79,t77)),t80),(t93)#H3)),t86),t87)),((((((t63,(((t69,t67),t62),((t68,((t75,t74),#H4)),((t53,((t54,t52))#H4),t55)))),((t72,(t73,(t61,t64))),t60)),(t56,(t57,t51))),(((t70,t66),t71),t65)),t58),t59))),(((((((t6,(t5,((t10,(t20,t19)),(t11,(((t12,t13),((t23,t18),((t17,t15),t14))),t25))))),(((t24,t16),t1),(t2,(t4,t3)))),(t8,t7)),t9),t21),t22),(((((((((t150,(t139,t140)),t147),t148),t149),(t136,t135)),(t142,t141)),((t145,t146),t126)),(((t138,(((((t128,t129),((t131,(t130)#H1),t127)),(t134,t133)),t137),t132)),(t143,#H1)),t144)),(((((t156,((((t165,t166),(t153,(t169,(t173,t172)))),((t158,t161),(t167,t168))),t157)),t170),(((((((t174,t175),t162),(t163,t164)),(t151,(t152,t154))),t155),t171),(t160,t159))),((t197,((((((t196,t195),(((t184,t191),t192),t187)),(t183,t182)),t178),t188),t198)),(t186,t185))),(t176,((t194,t193),(((t179,t180),t181),(t200,(t199,((t177,t189),t190)))))))))));",266,210,236.0,158.0,352.46149713799997,2114.957497931
n200r10,2,100,1000,high,15,AGIC,200,10,4,3,7,1,"(OUTGROUP,(((t48,(t47,((((t27,((t34,t33),t29)),((t30,t31),(t46,(t45,(t39,(t38,(((((t41,t42),t50),(t49,t40)),t32),(t37,(t43,t44))))))))),(t28,t26)),(t35,t36)))),((((((((t119,(((t118,(((t122,t123),(t117,t116)),t115)),(((t124,t125),(t120,t121)),t108)),t103)),(((((t109,t104),t102),t110),(t114,t113)),(t106,t107))),t101),t111),t112),t105),((((((((t93,((((((t89,#H1),((t84,t85))#H1),((((t97,t98),t83),(t99,t100)),(((t91,t82),t90),t76))),t88),(t78,t81)),#H4)),t94),t80),t77),t95),(t79,((t87,t86))#H4)),t96),t92)),(((((((t63,(t67,(t69,(((t68,((t74,#H3),(t75)#H3)),(t54,((t52,t55),t53))),t62)))),((t72,(t64,(t73,t61))),t60)),(t56,(t57,t51))),(t59,t58)),(t70,t65)),t71),t66))),((((((t6,((t5,((t20,t19),(t25,(((t13,((t15,(t23,t18)),(t17,t14))),t11),t12)))),t10)),((t4,t3),(((t16,t24),t1),t2))),((t22,t21),t9)),t7),t8),(t126,(((((t150,(t136,t135)),((t147,(t140,(t139,t148))),t149)),(t142,t141)),(((t132,((t137,((((t128,t129),t127),(t131,(t130)#H2)),(t133,t134))),t138)),(t143,#H2)),t144)),(t146,(t145,(((((((((t156,((t153,(t169,(t172,t173))),t161)),t157),(t165,t166)),(t167,t168)),t158),t170),((t159,t160),((((t163,t164),(((t175,t162),t174),t151)),(t154,(t152,t155))),t171))),t185),((((t198,(t188,((((t182,t183),(((t187,(t195,t196)),(t192,t191)),t184)),t197),t178))),t186),(((t180,(t193,t194)),t181),t179)),(t176,(t199,(((t177,t190),t189),t200))))))))))));",276,226,244.0,176.0,271.517297858,1769.8994275960004
