h,nll,pen,clade,subset,selected
0,-3296.0815883259124,3296.0815883259124,gymno,1,true
1,-3162.706996112706,3428.9553104381616,gymno,1,false
2,-3029.6309075745066,3562.1275362254187,gymno,1,false
3,-2896.6930939628855,3695.4380369392534,gymno,1,false
0,-358.17096567471907,358.17096567471907,gymno,2,true
1,-326.8231292012021,367.3997937404305,gymno,2,false
2,-315.5970694137049,396.7503984921616,gymno,2,false
3,-294.2852113718376,416.01520498952266,gymno,2,false
0,-783.4999444009098,783.4999444009098,gymno,3,true
1,-586.0830902833502,787.1325093832829,gymno,3,false
2,-517.4594447182992,919.5582829181647,gymno,3,false
3,-471.2921277560388,1074.440385055837,gymno,3,false
0,-1048.4128014162607,1048.4128014162607,gymno,4,false
1,-809.9867181052404,975.8558485206162,gymno,4,true
2,-860.8534815307473,1192.591742361499,gymno,4,false
3,-755.0086629154646,1252.616054161592,gymno,4,false
0,-8772.96999005292,8772.96999005292,gymno,5,false
1,-3381.6884473771343,7191.125278196481,gymno,5,true
2,-2618.220426243755,10237.09408788245,gymno,5,false
3,-2678.3979457318005,14106.70843818984,gymno,5,false
0,-7401.256178168456,7401.256178168456,gymno,6,false
1,-4472.219718060087,6197.853645063515,gymno,6,true
2,-4460.163967460601,7911.431821467458,gymno,6,false
3,-4529.2182166959055,9706.119997706191,gymno,6,false
0,-4859.890868036918,4859.890868036918,fern,1,true
1,-3647.086833689486,5161.115705691149,fern,1,false
2,-2981.2937213085033,6009.351465311828,fern,1,false
3,-2558.440452161143,7100.52706816613,fern,1,false
0,-4.265822663159739,4.265822663159739,fern,2,true
1,-1.9285797381386653,4.687402006498809,fern,2,false
2,-0.2329840964542925,5.750628633174579,fern,2,false
3,-0.2329840964542925,8.509450901534722,fern,2,false
0,-9856.911852362513,9856.911852362513,fern,3,true
1,-8019.139694805017,9965.44348364544,fern,3,false
2,-6924.146438084395,10816.754015765244,fern,3,false
3,-6978.069956535352,12816.981323056623,fern,3,false
0,-9047.146232211011,9047.146232211011,fern,4,false
1,-7386.506813800833,8834.276313240609,fern,4,true
2,-7357.0516151588345,10252.590614038387,fern,4,false
3,-6644.015466025389,10987.323964344718,fern,4,false
0,-345.1989676985592,345.1989676985592,fern,5,false
1,-234.08965681656022,327.3358166851467,fern,5,true
2,-199.38121366072863,385.8735333979016,fern,5,false
3,-201.35818230285895,481.09666190861844,fern,5,false
0,-11464.711365628447,11464.711365628447,fern,6,false
1,-10774.15352327609,11425.186653150604,fern,6,true
2,-10522.095600870149,11824.161860619173,fern,6,false
3,-10463.675456639576,12416.774846263113,fern,6,false
