ntaxa,rep,ils,ngt,m,snaq_runtime_sum,snaq_runtime_serial,inphynet_runtime,nretic_true,nretic_est,rooted_major_hwcd,unrooted_major_hwcd,rooted_hwcd,unrooted_hwcd,rooted_min_greedy_hwcd,unrooted_min_greedy_hwcd,sum_constraint_hwcd,sum_constraint_retics,perfect_infer_unrooted_hwcd,min_unrooted_nj_hwcd,n_constraints,approx_norm_hwcd,min_greedy_approx_norm_hwcd,approx_norm_input_hwcd,approx_norm_nj_hwcd
50,1,low,100,20,178670.47641730309,29820.29302406311,12.503729912,2,3,0,0,4,4,2,2,4,3,2,0,4,0.03636363636363636,0.01818181818181818,0.041666666666666664,0.0
50,1,low,1000,20,186193.28370285034,28772.288048028946,12.374257341,2,3,0,0,14,8,10,6,8,3,0,0,3,0.07272727272727272,0.05454545454545454,0.0784313725490196,0.0
50,1,low,3000,20,17028.164652347565,3508.563185930252,12.174571359,2,3,0,0,2,2,0,0,4,3,0,0,4,0.01818181818181818,0.0,0.041666666666666664,0.0
50,1,high,100,20,21504.05462360382,2472.19047498703,13.13776197,2,2,8,8,20,20,20,20,12,2,8,8,4,0.18181818181818182,0.18181818181818182,0.21666666666666667,0.08333333333333333
50,2,low,100,10,13780.887686729431,936.0146589279175,12.615404563,3,2,0,0,10,2,0,0,0,3,2,2,6,0.017241379310344827,0.0,0.020833333333333332,0.020833333333333332
50,2,low,100,20,214245.23094892502,32819.132043123245,12.558692692,3,3,0,0,14,6,14,6,4,4,2,2,4,0.05172413793103448,0.05172413793103448,0.06004901960784313,0.020833333333333332
50,2,low,1000,20,74612.6214158535,10870.03556895256,12.733846789,3,3,0,0,0,0,0,0,0,4,0,2,3,0.0,0.0,0.020833333333333332,0.020833333333333332
50,2,low,3000,10,4287.454057693481,132.02788996696472,12.161931386,3,3,0,0,2,2,2,2,0,3,2,2,6,0.017241379310344827,0.017241379310344827,0.020833333333333332,0.020833333333333332
50,2,high,100,20,21921.04531264305,2217.4655401706696,12.594299776,3,3,8,8,28,20,28,20,12,3,14,8,4,0.1724137931034483,0.1724137931034483,0.20833333333333331,0.08333333333333333
50,2,high,1000,20,131345.46846294403,13132.052618026733,12.283096444,3,4,0,0,32,26,26,16,22,4,4,0,3,0.22413793103448276,0.13793103448275862,0.2037037037037037,0.0
50,2,high,3000,20,84162.43428134918,12120.649845123291,12.194496869,3,4,0,0,20,14,16,10,8,4,6,0,3,0.1206896551724138,0.08620689655172414,0.07407407407407407,0.0
50,3,low,100,20,73274.5675239563,18322.19979596138,12.560418865,3,3,0,0,14,14,14,14,12,3,2,0,4,0.1206896551724138,0.1206896551724138,0.125,0.0
50,3,low,1000,10,4821.191964626312,276.860582113266,12.778049594,3,3,0,0,12,10,12,10,4,3,6,4,6,0.08620689655172414,0.08620689655172414,0.08928571428571427,0.041666666666666664
50,3,low,1000,20,74278.91791248322,15455.32801580429,12.199100793,3,3,2,2,4,4,4,4,2,3,2,2,4,0.034482758620689655,0.034482758620689655,0.041666666666666664,0.020833333333333332
50,3,high,100,20,26100.038818597794,6327.4380469322205,12.536233543,3,3,8,8,32,24,32,24,18,3,2,10,4,0.20689655172413793,0.20689655172413793,0.2916666666666667,0.10416666666666667
50,3,high,1000,10,5316.572336673737,258.8144540786743,12.697813255,3,2,6,6,12,10,10,8,2,2,6,6,5,0.08620689655172414,0.06896551724137931,0.08630952380952381,0.0625
50,3,high,1000,20,79730.3675801754,15160.678161859512,12.232905421,3,4,2,2,26,20,18,16,12,4,12,2,3,0.1724137931034483,0.13793103448275862,0.13194444444444445,0.020833333333333332
50,4,low,100,20,8834.599311590195,447.9917061328888,12.327582806,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0
50,4,low,1000,20,9252.329275846481,528.2490170001984,12.265730193,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0
50,4,high,100,20,16996.802568674088,1501.5222158432007,12.258623427,0,0,8,8,8,8,8,8,4,0,4,10,4,0.08163265306122448,0.08163265306122448,0.15544871794871795,0.10416666666666667
50,5,low,100,20,13813.355273485184,1863.0005540847778,12.296486166,1,1,0,0,4,4,4,4,4,1,0,0,4,0.038461538461538464,0.038461538461538464,0.047619047619047616,0.0
50,5,low,1000,20,12238.265120744705,2738.690976858139,12.060302407,1,1,0,0,6,4,6,4,4,1,0,0,4,0.038461538461538464,0.038461538461538464,0.047619047619047616,0.0
50,5,high,100,20,73398.57796955109,7757.704235076904,12.534201416,1,1,2,2,16,6,16,6,4,1,2,4,3,0.057692307692307696,0.057692307692307696,0.08611111111111111,0.041666666666666664
50,6,low,100,20,25749.840882778168,6691.955738067627,12.339409419,1,1,0,0,0,0,0,0,0,1,0,0,4,0.0,0.0,0.0,0.0
