ntaxa,rep,ils,ngt,m,avg_gtee,norm_output_error,output_hwcd
50,1,low,100,20,0.04229166666666666,0.01818181818181818,2.0
50,1,low,1000,20,0.04081249999999999,0.05454545454545454,6.0
50,1,low,3000,20,0.040618055555555484,0.0,0.0
50,1,high,100,20,0.34208333333333335,0.18181818181818182,20.0
50,2,low,100,10,0.03312500000000001,0.0,0.0
50,2,low,100,20,0.032499999999999994,0.05172413793103448,6.0
50,2,low,1000,20,0.0316666666666666,0.0,0.0
50,2,low,3000,10,0.03174305555555542,0.017241379310344827,2.0
50,2,high,100,20,0.3516666666666668,0.1724137931034483,20.0
50,2,high,1000,20,0.3553958333333335,0.13793103448275862,16.0
50,2,high,3000,20,0.353548611111111,0.08620689655172414,10.0
50,3,low,100,20,0.03333333333333333,0.1206896551724138,14.0
50,3,low,1000,10,0.0343958333333333,0.08620689655172414,10.0
50,3,low,1000,20,0.03172916666666662,0.034482758620689655,4.0
50,3,high,100,20,0.3135416666666667,0.20689655172413793,24.0
50,3,high,1000,10,0.32208333333333367,0.06896551724137931,8.0
50,3,high,1000,20,0.3233125000000002,0.13793103448275862,16.0
50,4,low,100,20,0.04145833333333333,0.0,0.0
50,4,low,1000,20,0.04050000000000002,0.0,0.0
50,4,high,100,20,0.31229166666666663,0.08163265306122448,8.0
50,5,low,100,20,0.03541666666666666,0.038461538461538464,4.0
50,5,low,1000,20,0.03497916666666664,0.038461538461538464,4.0
50,5,high,100,20,0.32562500000000005,0.057692307692307696,6.0
50,6,low,100,20,0.029166666666666664,0.0,0.0
50,6,low,1000,20,0.030104166666666606,0.019230769230769232,2.0
50,6,high,100,20,0.3164583333333334,0.09615384615384616,10.0
50,6,high,1000,10,0.3233749999999997,0.0,0.0
50,7,low,100,20,0.03354166666666668,0.0,0.0
50,7,low,1000,20,0.02904166666666661,0.0,0.0
50,7,high,100,20,0.38770833333333327,0.17307692307692307,18.0
50,7,high,1000,20,0.38218749999999985,0.038461538461538464,4.0
50,8,low,100,20,0.04125,0.0,0.0
50,8,low,1000,20,0.037875000000000006,0.017241379310344827,2.0
50,8,high,100,20,0.32104166666666656,0.10344827586206896,12.0
50,8,high,1000,20,0.32727083333333373,0.10344827586206896,12.0
50,9,low,100,10,0.032916666666666684,0.06896551724137931,8.0
50,9,low,100,20,0.03791666666666667,0.034482758620689655,4.0
50,9,low,1000,20,0.035895833333333266,0.034482758620689655,4.0
50,9,high,100,10,0.4785416666666665,0.22413793103448276,26.0
50,9,high,100,20,0.4695833333333334,0.15517241379310345,18.0
50,9,high,1000,20,0.4816249999999998,0.20689655172413793,24.0
50,10,low,100,20,0.033125,0.034482758620689655,4.0
50,10,low,1000,20,0.03658333333333334,0.0,0.0
50,10,high,100,10,0.34104166666666663,0.22413793103448276,26.0
50,10,high,100,20,0.33625000000000005,0.3275862068965517,38.0
50,10,high,1000,20,0.3363958333333334,0.15517241379310345,18.0
100,1,low,100,10,0.04081632653061225,0.09166666666666666,22.0
100,1,low,100,20,0.04061224489795917,0.03333333333333333,8.0
100,1,low,1000,20,0.038448979591836824,0.06666666666666667,16.0
100,1,high,100,20,0.5422448979591837,0.35833333333333334,86.0
100,1,high,1000,20,0.5362755102040782,0.18333333333333332,44.0
100,2,low,100,20,0.03551020408163263,0.056910569105691054,14.0
100,2,low,1000,20,0.034000000000000016,0.04065040650406504,10.0
100,2,high,100,20,0.5752040816326534,0.22764227642276422,56.0
100,2,high,1000,20,0.5730816326530566,0.17073170731707318,42.0
100,3,low,100,20,0.03653061224489795,0.01904761904761905,4.0
100,3,low,1000,20,0.036418367346938894,0.02857142857142857,6.0
100,3,high,100,20,0.5304081632653059,0.08571428571428572,18.0
100,3,high,1000,20,0.5379795918367316,0.01904761904761905,4.0
100,4,low,100,20,0.040204081632653044,0.046296296296296294,10.0
100,4,low,1000,10,0.03941836734693884,0.037037037037037035,8.0
