ntaxa,rep,ils,ngt,m,ncores,runtime
50,1,low,100,20,1,178670.47641730309
50,1,low,100,20,2,89577.08751511574
50,1,low,100,20,3,69508.66533112526
50,1,low,100,20,4,51255.64877009392
50,1,low,100,20,5,46381.34604430199
50,1,low,100,20,6,42551.7040309906
50,1,low,100,20,7,39454.038743019104
50,1,low,100,20,8,36912.10989522934
50,1,low,100,20,9,34774.93274140358
50,1,low,100,20,10,33546.347913980484
50,1,low,100,20,11,32882.34852004051
50,1,low,100,20,12,31878.55005311966
50,1,low,100,20,13,31247.890568733215
50,1,low,100,20,14,30937.850896835327
50,1,low,100,20,15,30616.982856035233
50,1,low,100,20,16,30342.24217891693
50,1,low,100,20,17,30134.98113298416
50,1,low,100,20,18,30020.906760931015
50,1,low,100,20,19,29957.268137931824
50,1,low,100,20,20,29942.314050912857
50,1,low,100,20,21,29820.50591993332
50,1,low,100,20,22,29820.29302406311
50,1,low,100,20,23,29820.29302406311
50,1,low,100,20,24,29820.29302406311
50,1,low,100,20,25,29820.29302406311
50,1,low,100,20,26,29820.29302406311
50,1,low,100,20,27,29820.29302406311
50,1,low,100,20,28,29820.29302406311
50,1,low,100,20,29,29820.29302406311
50,1,low,100,20,30,29820.29302406311
50,1,low,100,20,31,29820.29302406311
50,1,low,100,20,32,29820.29302406311
50,1,low,1000,20,1,186193.28370285034
50,1,low,1000,20,2,101488.92497992516
50,1,low,1000,20,3,76426.8744032383
50,1,low,1000,20,4,63071.658702135086
50,1,low,1000,20,5,55945.85783791542
50,1,low,1000,20,6,51217.87139105797
50,1,low,1000,20,7,47288.11693096161
50,1,low,1000,20,8,44263.22990012169
50,1,low,1000,20,9,42023.02455496788
50,1,low,1000,20,10,39409.74237203598
50,1,low,1000,20,11,37375.15988397598
50,1,low,1000,20,12,36487.90588903427
50,1,low,1000,20,13,35264.767579078674
50,1,low,1000,20,14,34634.707828998566
50,1,low,1000,20,15,32579.568201065063
50,1,low,1000,20,16,31212.993385076523
50,1,low,1000,20,17,30520.243437051773
50,1,low,1000,20,18,30302.01509809494
50,1,low,1000,20,19,29922.77809906006
50,1,low,1000,20,20,29890.666302919388
50,1,low,1000,20,21,29292.71834897995
50,1,low,1000,20,22,29290.277183055878
50,1,low,1000,20,23,29232.13157391548
50,1,low,1000,20,24,29227.586985111237
50,1,low,1000,20,25,29084.654325962067
50,1,low,1000,20,26,28772.288048028946
50,1,low,1000,20,27,28772.288048028946
50,1,low,1000,20,28,28772.288048028946
50,1,low,1000,20,29,28772.288048028946
50,1,low,1000,20,30,28772.288048028946
50,1,low,1000,20,31,28772.288048028946
50,1,low,1000,20,32,28772.288048028946
50,1,low,3000,20,1,17028.164652347565
50,1,low,3000,20,2,8543.74660730362
50,1,low,3000,20,3,5914.702983140945
50,1,low,3000,20,4,4347.157941818237
50,1,low,3000,20,5,3508.563185930252
50,1,low,3000,20,6,3508.563185930252
50,1,low,3000,20,7,3508.563185930252
50,1,low,3000,20,8,3508.563185930252
50,1,low,3000,20,9,3508.563185930252
50,1,low,3000,20,10,3508.563185930252
50,1,low,3000,20,11,3508.563185930252
50,1,low,3000,20,12,3508.563185930252
50,1,low,3000,20,13,3508.563185930252
50,1,low,3000,20,14,3508.563185930252
50,1,low,3000,20,15,3508.563185930252
50,1,low,3000,20,16,3508.563185930252
50,1,low,3000,20,17,3508.563185930252
50,1,low,3000,20,18,3508.563185930252
50,1,low,3000,20,19,3508.563185930252
50,1,low,3000,20,20,3508.563185930252
50,1,low,3000,20,21,3508.563185930252
50,1,low,3000,20,22,3508.563185930252
50,1,low,3000,20,23,3508.563185930252
50,1,low,3000,20,24,3508.563185930252
50,1,low,3000,20,25,3508.563185930252
50,1,low,3000,20,26,3508.563185930252
50,1,low,3000,20,27,3508.563185930252
50,1,low,3000,20,28,3508.563185930252
50,1,low,3000,20,29,3508.563185930252
50,1,low,3000,20,30,3508.563185930252
50,1,low,3000,20,31,3508.563185930252
50,1,low,3000,20,32,3508.563185930252
50,1,high,100,20,1,21504.05462360382
50,1,high,100,20,2,10801.322956323624
50,1,high,100,20,3,7343.433600187302
50,1,high,100,20,4,5656.1935341358185
50,1,high,100,20,5,4498.335303783417
50,1,high,100,20,6,3834.209703207016
50,1,high,100,20,7,3348.2535858154297
50,1,high,100,20,8,3089.552309989929
50,1,high,100,20,9,2957.844521045685
50,1,high,100,20,10,2830.0517497062683
50,1,high,100,20,11,2727.311565876007
50,1,high,100,20,12,2676.831115961075
50,1,high,100,20,13,2591.147332906723
50,1,high,100,20,14,2553.497766017914
50,1,high,100,20,15,2551.3358948230743
50,1,high,100,20,16,2533.2433638572693
50,1,high,100,20,17,2532.1869690418243
50,1,high,100,20,18,2530.0944440364838
50,1,high,100,20,19,2472.19047498703
50,1,high,100,20,20,2472.19047498703
50,1,high,100,20,21,2472.19047498703
50,1,high,100,20,22,2472.19047498703
50,1,high,100,20,23,2472.19047498703
50,1,high,100,20,24,2472.19047498703
50,1,high,100,20,25,2472.19047498703
50,1,high,100,20,26,2472.19047498703
50,1,high,100,20,27,2472.19047498703
50,1,high,100,20,28,2472.19047498703
50,1,high,100,20,29,2472.19047498703
50,1,high,100,20,30,2472.19047498703
50,1,high,100,20,31,2472.19047498703
50,1,high,100,20,32,2472.19047498703
50,2,low,100,10,1,13780.887686729431
50,2,low,100,10,2,6919.765536785126
50,2,low,100,10,3,4614.778591394424
50,2,low,100,10,4,3621.6831929683685
50,2,low,100,10,5,3082.7861592769623
50,2,low,100,10,6,2692.9864280223846
50,2,low,100,10,7,2416.891483783722
50,2,low,100,10,8,2231.281993627548
50,2,low,100,10,9,2058.7627878189087
50,2,low,100,10,10,1956.2072398662567
50,2,low,100,10,11,1850.2598547935486
50,2,low,100,10,12,1750.987319946289
50,2,low,100,10,13,1683.7294030189514
50,2,low,100,10,14,1610.9914450645447
50,2,low,100,10,15,1560.8777441978455
50,2,low,100,10,16,1536.9784779548645
50,2,low,100,10,17,1515.233069896698
50,2,low,100,10,18,1449.5727667808533
